#COL_NUMBER,#RES_PAIR_COLUMN_SCORE
1,1.000
2,1.000
3,0.955
4,0.946
5,0.972
6,0.950
7,0.950
8,1.000
9,1.000
10,1.000
11,0.600
12,0.650
13,0.923
14,0.977
15,1.000
16,1.000
17,1.000
18,1.000
19,1.000
20,1.000
21,1.000
22,1.000
23,1.000
33,1.000
34,1.000
35,1.000
36,1.000
37,1.000
38,1.000
39,1.000
40,1.000
41,0.900
42,0.900
43,0.975
44,1.000
45,0.920
46,0.980
47,0.980
48,0.980
49,0.990
50,0.990
51,0.990
70,0.777
71,0.596
72,0.534
73,0.891
74,0.914
75,0.922
76,0.756
84,0.671
85,0.515
86,0.802
87,0.881
88,1.000
89,1.000
90,1.000
95,1.000
96,1.000
97,1.000
118,1.000
119,1.000
120,1.000
121,1.000
122,1.000
123,0.979
124,1.000
125,0.990
126,0.990
129,0.967
130,0.980
131,0.980
132,0.980
133,1.000
134,1.000
135,1.000
136,1.000
138,1.000
139,1.000
140,1.000
141,1.000
142,0.933
143,0.990
144,0.989
146,1.000
147,1.000
148,1.000
149,1.000
150,1.000
162,0.400
163,0.400
166,1.000
167,1.000
168,1.000
169,0.968
170,0.968
171,0.990
172,1.000
173,0.989
174,0.400
175,0.949
176,1.000
177,1.000
178,1.000
179,1.000
180,1.000
181,0.600
182,0.600
183,0.830
184,0.830
186,0.950
187,0.949
188,0.940
196,1.000
197,0.959
198,1.000
199,1.000
200,1.000
201,1.000
202,1.000
203,0.995
204,0.995
205,1.000
206,1.000
207,1.000
208,1.000
209,1.000
210,1.000
211,1.000
212,1.000
218,1.000
219,1.000
220,0.978
221,1.000
222,1.000
223,1.000
224,1.000
237,1.000
238,1.000
239,1.000
240,1.000
241,1.000
247,1.000
248,1.000
249,1.000
250,1.000
251,1.000
252,1.000
253,1.000
254,1.000
255,1.000
256,1.000
257,1.000
259,1.000
260,0.979
261,1.000
262,0.905
263,0.907
264,0.600
265,0.978
266,0.969
267,0.955
268,1.000
269,1.000
270,1.000
271,1.000
272,1.000
273,1.000
274,0.963
277,0.960
278,0.982
279,1.000
281,1.000
282,1.000
283,1.000
284,1.000
285,1.000
286,1.000
287,0.200
288,0.959
289,1.000
290,1.000
291,1.000
292,1.000
293,1.000
294,0.960
295,0.960
300,0.200
301,0.200
302,1.000
303,1.000
304,0.977
305,1.000
306,1.000
307,1.000
308,0.797
310,0.000
311,1.000
312,1.000
313,1.000
315,0.975
316,1.000
317,1.000
318,1.000
319,1.000
320,0.815
321,0.962
322,1.000
323,1.000
324,1.000
325,1.000
326,1.000
327,1.000
328,1.000
329,1.000
330,1.000
331,1.000
332,1.000
333,1.000
334,1.000
346,0.946
347,0.948
348,0.948
350,1.000
351,0.990
352,0.990
353,0.990
354,0.963
355,0.924
359,0.600
360,0.958
361,0.980
362,0.980
363,0.985
364,0.985
365,1.000
366,1.000
367,1.000
368,1.000
369,1.000
370,1.000
371,1.000
